amount,sender_balance_before,transaction_type,device_type,region,is_fraud,hour_sin,hour_cos,day_sin,day_cos,month_2026_sin,month_2026_cos,drain_rate,account_emptied
4841.32,20631.97,till,smartphone,Nairobi,0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,23.465136872533254,0
1544.9,54726.99,till,feature,Kisumu,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,2.822921560275835,0
1693.55,7483.87,till,feature,Eldoret,0,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,22.62933482275881,0
238.63,75637.86,till,smartphone,Eldoret,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.3154901526827967,0
1050.57,15338.69,paybill,feature,Nairobi,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,6.849150742338492,0
4139.95,5286.05,till,feature,Nairobi,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,78.31840410136112,0
372.74,13714.49,till,feature,Kisumu,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,2.7178553486130363,0
3687.24,2376.76,paybill,feature,Eldoret,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,155.13724566216192,1
695.37,16029.06,peer,smartphone,Nakuru,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4.338183274627458,0
3013.1,28142.12,paybill,feature,Kisumu,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,10.706727140670283,0
2573.79,72441.61,till,feature,Nairobi,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,3.55291661794927,0
4166.07,74662.95,till,smartphone,Mombasa,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,5.579835782004327,0
